nom,departement,numero_departement,circonscription,groupe_politique,semaines_presence,commissions_presences,interventions_hemicycle,amendements_proposes,amendements_signes,amendements_adoptes,questions_ecrites,questions_orales,identifiant_api,url_nosdeputes
Luc Lamirault,Eure-et-Loir,Normandie,3,HOR,0,0,0,0,0,0,0,0,luc-lamirault,https://www.nosdeputes.fr/luc-lamirault
Véronique Louwagie,Orne,Normandie,2,LR,0,0,0,0,0,0,0,0,veronique-louwagie,https://www.nosdeputes.fr/veronique-louwagie
Anna Pic,Manche,Normandie,4,SOC,0,0,0,0,0,0,0,0,anna-pic,https://www.nosdeputes.fr/anna-pic
Annie Vidal,Seine-Maritime,Normandie,2,REN,0,0,0,0,0,0,0,0,annie-vidal,https://www.nosdeputes.fr/annie-vidal
Jérémie Patrier-Leitus,Calvados,Normandie,3,HOR,0,0,0,0,0,0,0,0,jeremie-patrier-leitus,https://www.nosdeputes.fr/jeremie-patrier-leitus
Timothée Houssin,Eure,Normandie,5,RN,0,0,0,0,0,0,0,0,timothee-houssin,https://www.nosdeputes.fr/timothee-houssin
Marie-Agnès Poussier-Winsback,Seine-Maritime,Normandie,9,HOR,0,0,0,0,0,0,0,0,marie-agnes-poussier-winsback,https://www.nosdeputes.fr/marie-agnes-poussier-winsback
Philippe Vigier,Eure-et-Loir,Normandie,4,MODEM,0,0,0,0,0,0,0,0,philippe-vigier,https://www.nosdeputes.fr/philippe-vigier
Jean-Paul Lecoq,Seine-Maritime,Normandie,8,GDR,0,0,0,0,0,0,0,0,jean-paul-lecoq,https://www.nosdeputes.fr/jean-paul-lecoq
Agnès Firmin Le Bodo,Seine-Maritime,Normandie,7,HOR,0,0,0,0,0,0,0,0,agnes-firmin-le-bodo,https://www.nosdeputes.fr/agnes-firmin-le-bodo
Christophe Blanchet,Calvados,Normandie,4,MODEM,0,0,0,0,0,0,0,0,christophe-blanchet,https://www.nosdeputes.fr/christophe-blanchet
Philippe Brun,Eure,Normandie,4,SOC,0,0,0,0,0,0,0,0,philippe-brun,https://www.nosdeputes.fr/philippe-brun
Philippe Gosselin,Manche,Normandie,1,LR,0,0,0,0,0,0,0,0,philippe-gosselin,https://www.nosdeputes.fr/philippe-gosselin
Stéphane Travert,Manche,Normandie,3,REN,0,0,0,0,0,0,0,0,stephane-travert,https://www.nosdeputes.fr/stephane-travert
Christine Loir,Eure,Normandie,1,RN,0,0,0,0,0,0,0,0,christine-loir,https://www.nosdeputes.fr/christine-loir
Bertrand Bouyx,Calvados,Normandie,5,HOR,0,0,0,0,0,0,0,0,bertrand-bouyx,https://www.nosdeputes.fr/bertrand-bouyx
Xavier Batut,Seine-Maritime,Normandie,10,HOR,0,0,0,0,0,0,0,0,xavier-batut,https://www.nosdeputes.fr/xavier-batut
Chantal Jourdan,Orne,Normandie,1,SOC,0,0,0,0,0,0,0,0,chantal-jourdan,https://www.nosdeputes.fr/chantal-jourdan
